iter	Logloss
0	0.6843002073
1	0.6754018722
2	0.6692968184
3	0.6614325123
4	0.6526920565
5	0.6441645468
6	0.6360205373
7	0.6282861771
8	0.6216591866
9	0.6152422505
10	0.608044409
11	0.6022647119
12	0.5959747684
13	0.5892285993
14	0.5834236145
15	0.5771935986
16	0.572070091
17	0.5664076651
18	0.5608482976
19	0.5557154994
20	0.5499313724
21	0.544423934
22	0.5393924098
23	0.5352725367
24	0.5301242951
25	0.5257317328
26	0.5214114035
27	0.5166278962
28	0.5124762135
29	0.5084750575
30	0.5043952081
31	0.5001748608
32	0.4955105012
33	0.4914669529
34	0.4874334643
35	0.4838503253
36	0.4802327618
37	0.4762779051
38	0.4730306133
39	0.4697272085
40	0.4661353019
41	0.4628932707
42	0.4602354726
43	0.4568097514
44	0.4543045105
45	0.4514869567
46	0.4486897376
47	0.4456088158
48	0.4424916237
49	0.4391262916
50	0.4361717778
51	0.4335732614
52	0.4310237515
53	0.4288656788
54	0.4262292308
55	0.4236956873
56	0.4210208154
57	0.4185815011
58	0.4164317346
59	0.4145122036
60	0.4123251515
61	0.4099157395
62	0.4080160818
63	0.4055221004
64	0.4034086043
65	0.4011557487
66	0.399162231
67	0.3972001537
68	0.3954744031
69	0.393439016
70	0.3916410938
71	0.3904744425
72	0.3885313465
73	0.3866235979
74	0.3846505996
75	0.382984469
76	0.3812000521
77	0.3797816
78	0.3782464304
79	0.3767975838
80	0.3751767066
81	0.3739579416
82	0.3729591677
83	0.3716411898
84	0.3704053202
85	0.3690657769
86	0.3674006308
87	0.3658239611
88	0.3645260103
89	0.363212247
90	0.3619956355
91	0.3609469321
92	0.3597684676
93	0.3586460852
94	0.3573440121
95	0.3562449178
96	0.3547909029
97	0.3535734607
98	0.3521805732
99	0.3511334696
100	0.3505067518
101	0.3492878329
102	0.3480846651
103	0.3469307807
104	0.3456364909
105	0.3447175795
106	0.3440082919
107	0.3433390587
108	0.3420999281
109	0.3410216916
110	0.3401115787
111	0.3392732682
112	0.3385337091
113	0.337469224
114	0.3365591726
115	0.3356620112
116	0.3350002227
117	0.3341191815
118	0.3334503481
