iter	Passed	Remaining
0	4	4429
1	7	3944
2	11	3667
3	14	3579
4	17	3491
5	20	3471
6	24	3511
7	28	3550
8	32	3538
9	35	3515
10	38	3500
11	42	3486
12	45	3489
13	49	3468
14	53	3540
15	58	3567
16	61	3565
17	66	3623
18	73	3776
19	79	3916
20	85	4005
21	90	4014
22	94	4003
23	97	3959
24	102	4016
25	106	4007
26	110	3980
27	114	3973
28	118	3981
29	123	3981
30	127	3984
31	131	3969
32	136	3997
33	140	3981
34	145	4002
35	150	4032
36	155	4054
37	159	4037
38	163	4027
39	167	4013
40	171	4017
41	176	4030
42	182	4060
43	187	4081
44	192	4093
45	197	4090
46	201	4082
47	205	4077
48	210	4086
49	216	4115
50	221	4122
51	226	4120
52	231	4130
53	234	4116
54	240	4131
55	244	4114
56	248	4110
57	252	4097
58	257	4105
59	261	4100
60	265	4087
61	268	4069
62	272	4055
63	277	4057
64	282	4069
65	288	4082
66	293	4089
67	298	4090
68	303	4099
69	308	4101
70	313	4106
71	318	4103
72	324	4120
73	329	4117
74	333	4116
75	338	4113
76	342	4106
77	347	4106
78	352	4113
79	358	4125
80	364	4131
81	369	4135
82	374	4137
83	379	4138
84	384	4143
85	390	4148
86	395	4150
87	399	4143
88	404	4138
89	408	4127
90	412	4120
91	415	4104
92	419	4090
93	422	4073
94	426	4061
95	431	4058
96	434	4048
97	440	4054
98	445	4054
99	451	4059
100	456	4059
101	461	4063
102	467	4068
103	472	4072
104	476	4063
105	480	4051
106	485	4048
107	488	4037
108	493	4038
109	498	4035
110	504	4037
111	509	4035
112	514	4036
113	519	4041
114	525	4042
115	530	4045
116	535	4040
117	539	4035
118	543	4026
119	547	4016
120	551	4003
121	554	3990
122	558	3982
123	564	3985
124	568	3980
125	573	3979
126	577	3972
127	582	3968
128	586	3956
129	590	3953
130	594	3941
131	598	3936
132	602	3928
133	608	3932
134	614	3936
135	619	3937
136	625	3937
137	630	3938
138	635	3936
139	639	3930
140	643	3921
141	648	3920
142	652	3910
143	655	3897
144	659	3888
145	664	3886
146	669	3884
147	674	3880
148	678	3876
149	683	3872
150	687	3862
151	690	3853
152	694	3846
153	699	3840
154	703	3835
155	706	3823
156	709	3811
157	714	3808
158	720	3808
159	725	3807
160	730	3806
161	735	3803
162	739	3797
163	743	3790
164	747	3784
165	753	3787
166	758	3783
167	763	3778
168	768	3777
169	771	3767
170	774	3756
171	779	3751
172	784	3749
173	787	3740
174	791	3732
175	796	3729
176	800	3720
177	803	3711
178	807	3702
179	812	3700
180	816	3694
181	819	3684
182	823	3676
183	829	3678
184	832	3669
185	836	3659
186	839	3650
187	845	3650
188	848	3642
189	852	3632
190	855	3623
191	862	3628
192	865	3619
193	869	3612
194	873	3606
195	879	3606
196	882	3597
197	886	3588
198	890	3585
199	895	3580
200	898	3571
201	901	3563
202	906	3559
203	910	3551
204	913	3542
205	917	3534
206	921	3529
207	926	3527
208	929	3518
209	933	3510
210	937	3506
211	942	3504
212	946	3496
213	949	3488
214	954	3486
215	958	3477
216	962	3473
217	968	3472
218	973	3472
219	977	3466
220	981	3459
221	985	3452
222	988	3443
223	992	3437
224	996	3431
225	1001	3429
226	1006	3427
227	1010	3421
228	1013	3413
229	1017	3406
230	1021	3401
231	1025	3393
232	1028	3386
233	1033	3382
234	1038	3379
235	1042	3375
236	1047	3371
237	1054	3376
238	1059	3372
239	1064	3369
240	1068	3366
241	1072	3360
242	1076	3353
243	1081	3350
244	1085	3343
245	1088	3337
246	1092	3330
247	1096	3325
248	1100	3318
249	1104	3312
250	1108	3309
251	1113	3305
252	1116	3297
253	1122	3297
254	1128	3297
255	1133	3295
256	1138	3292
257	1145	3293
258	1150	3290
259	1154	3284
260	1159	3282
261	1163	3277
262	1168	3275
263	1174	3275
264	1180	3274
265	1185	3271
266	1190	3267
267	1194	3262
268	1199	3260
269	1204	3257
270	1209	3254
271	1214	3249
272	1219	3246
273	1224	3243
274	1229	3240
275	1233	3236
276	1238	3232
277	1242	3227
278	1247	3224
279	1251	3219
280	1256	3215
281	1260	3209
282	1265	3206
283	1269	3200
284	1273	3195
285	1277	3190
286	1282	3187
287	1288	3185
288	1293	3183
289	1299	3181
290	1304	3177
291	1308	3172
292	1313	3168
293	1318	3166
294	1323	3162
295	1328	3159
296	1333	3156
297	1337	3151
298	1341	3145
299	1346	3141
300	1351	3139
301	1357	3136
302	1361	3132
303	1365	3126
304	1370	3121
305	1373	3115
306	1377	3109
307	1380	3102
308	1385	3097
309	1388	3091
310	1392	3084
311	1396	3080
312	1402	3079
313	1408	3077
314	1414	3075
315	1418	3071
316	1423	3066
317	1428	3063
318	1431	3056
319	1435	3049
320	1438	3042
321	1443	3039
322	1448	3035
323	1452	3030
324	1456	3024
325	1460	3018
326	1463	3012
327	1469	3009
328	1473	3005
329	1478	3002
330	1483	2999
331	1487	2993
332	1491	2986
333	1495	2981
334	1498	2974
335	1501	2968
336	1505	2962
337	1509	2957
338	1513	2951
339	1516	2944
340	1520	2938
341	1525	2934
342	1529	2929
343	1532	2922
344	1535	2915
345	1539	2909
346	1544	2906
347	1548	2900
348	1553	2898
349	1559	2897
350	1564	2892
351	1569	2889
352	1576	2889
353	1580	2884
354	1585	2880
355	1591	2878
356	1597	2876
357	1601	2872
358	1607	2870
359	1612	2866
360	1617	2863
361	1622	2858
362	1627	2855
363	1632	2852
364	1638	2850
365	1643	2847
366	1649	2844
367	1654	2842
368	1659	2837
369	1664	2834
370	1669	2830
371	1674	2826
372	1678	2822
373	1684	2819
374	1690	2817
375	1694	2812
376	1699	2808
377	1703	2803
378	1707	2798
379	1713	2796
380	1719	2793
381	1724	2790
382	1729	2786
383	1734	2782
384	1738	2776
385	1742	2771
386	1747	2767
387	1750	2760
388	1753	2754
389	1758	2750
390	1763	2746
391	1767	2741
392	1771	2736
393	1776	2731
394	1780	2726
395	1784	2721
396	1788	2716
397	1792	2711
398	1796	2706
399	1800	2700
400	1805	2697
401	1811	2694
402	1816	2690
403	1822	2688
404	1826	2682
405	1830	2678
406	1833	2671
407	1836	2665
408	1841	2660
409	1845	2655
410	1850	2651
411	1856	2649
412	1862	2646
413	1866	2641
414	1870	2636
415	1877	2635
416	1880	2629
417	1884	2623
418	1889	2619
419	1893	2614
420	1897	2610
421	1902	2606
422	1908	2603
423	1913	2599
424	1917	2594
425	1922	2590
426	1927	2587
427	1933	2583
428	1938	2579
429	1943	2576
430	1947	2570
431	1951	2565
432	1954	2559
433	1959	2555
434	1962	2549
435	1966	2544
436	1970	2538
437	1975	2534
438	1979	2529
439	1984	2525
440	1989	2521
441	1993	2517
442	2000	2515
443	2005	2511
444	2010	2506
445	2013	2501
446	2018	2497
447	2022	2491
448	2025	2485
449	2028	2479
450	2032	2474
451	2038	2470
452	2042	2466
453	2047	2462
454	2051	2457
455	2055	2451
456	2058	2446
457	2063	2441
458	2068	2437
459	2073	2434
460	2079	2431
461	2085	2428
462	2090	2425
463	2096	2421
464	2101	2418
465	2107	2414
466	2112	2411
467	2117	2407
468	2120	2401
469	2124	2396
470	2129	2391
471	2132	2386
472	2137	2382
473	2143	2378
474	2146	2372
475	2152	2369
476	2155	2363
477	2160	2359
478	2164	2354
479	2169	2350
480	2175	2347
481	2180	2343
482	2185	2339
483	2190	2335
484	2194	2330
485	2198	2325
486	2203	2320
487	2206	2315
488	2212	2312
489	2216	2307
490	2221	2302
491	2224	2297
492	2229	2292
493	2234	2289
494	2240	2285
495	2246	2282
496	2252	2279
497	2257	2275
498	2261	2270
499	2266	2266
500	2270	2261
501	2274	2256
502	2278	2251
503	2282	2245
504	2285	2240
505	2290	2236
506	2295	2232
507	2299	2226
