latitude,longitude,acq_date,fire_occurred,temperature,humidity,wind_speed,precipitation,elevation,vpd
27.8739,80.0982,2016-03-11,0,27.1,29.52,2.44,0.19,156.0,2.528
28.0033,84.8377,2022-08-27,0,19.07,93.22,1.43,21.9,667.0,0.15
28.8952,84.65,2012-03-29,0,-7.06,60.88,1.9,0.0,5386.0,0.141
29.1301,86.2517,2024-05-01,0,-3.29,48.74,7.34,0.0,5257.0,0.246
28.7341,82.356,2024-09-30,0,19.16,90.9,1.42,0.0,2091.0,0.202
29.021,85.3287,2018-12-29,0,-17.49,38.3,1.66,0.0,5769.0,0.095
28.712,80.7356,2020-06-28,0,31.17,74.43,1.52,7.0,185.0,1.16
30.3836,83.9482,2020-12-30,0,-18.45,49.28,5.59,0.0,5780.0,0.072
27.9038,85.0031,2024-07-27,0,22.25,83.06,1.72,1.31,1399.0,0.455
28.3208,86.8585,2018-10-01,0,0.22,70.01,2.23,0.99,4602.0,0.186
28.9332,81.1449,2018-05-20,0,26.72,30.86,1.79,0.0,581.0,2.425
28.04,81.3627,2015-03-11,0,19.85,50.25,2.32,0.0,144.0,1.153
28.2955,83.7586,2015-01-22,0,-0.19,54.2,1.43,0.9,1156.0,0.276
27.5129,81.7643,2021-08-12,0,28.54,88.05,2.39,10.54,119.0,0.466
26.3888,80.4357,2019-04-17,0,27.43,46.63,2.41,1.69,125.0,1.951
29.2868,86.2513,2019-05-07,0,-1.2,54.79,5.52,0.0,5046.0,0.253
27.3188,86.8734,2013-05-24,0,15.35,59.17,1.98,0.02,2145.0,0.712
28.9426,87.8033,2015-05-16,0,4.62,43.84,3.5,0.24,4877.0,0.477
29.129,84.6122,2022-05-23,0,-1.63,80.11,2.37,2.75,5279.0,0.108
30.2746,81.9416,2020-06-01,0,-5.48,94.08,2.52,4.1,4747.0,0.024
27.6812,87.1146,2018-12-26,0,0.08,50.51,1.71,0.0,4460.0,0.304
27.6192,86.3546,2018-08-18,0,18.91,92.03,1.16,0.52,2942.0,0.174
26.5675,88.0602,2012-02-24,0,21.57,38.45,1.37,0.0,98.0,1.585
30.144,88.8965,2020-05-09,0,-0.75,46.26,1.97,0.02,5457.0,0.311
29.5074,82.7647,2017-06-02,0,4.76,78.59,2.79,0.35,3359.0,0.184
28.6902,83.1122,2020-02-06,0,-0.67,55.13,1.43,0.0,4424.0,0.261
30.0423,88.5912,2018-05-20,0,6.55,41.34,2.92,0.0,4800.0,0.57
29.0823,82.0996,2015-02-06,0,5.77,57.52,1.44,0.0,3394.0,0.391
29.3676,89.1668,2012-12-07,0,-4.01,29.3,2.32,0.0,3837.0,0.321
28.8316,87.0874,2021-01-25,0,-10.02,22.04,4.48,0.0,4798.0,0.222
27.9013,81.0616,2012-01-07,0,15.46,72.58,1.69,1.69,132.0,0.482
27.5568,84.4904,2018-01-21,0,14.45,40.08,1.18,0.0,187.0,0.986
29.6631,83.6491,2014-11-28,0,-13.38,74.93,3.58,0.0,4893.0,0.055
27.0165,80.1716,2014-04-03,0,27.9,28.68,2.73,0.08,138.0,2.68
